,outcome_id,outcomes,mnemonic,active
46,47,"NumPy, Pandas (essentials)",ds5100,True
47,48,Patch/debug broken code,ds5100,True
48,49,Patch/debug code using in-line testing and unit testing (advanced),ds5100,True
49,50,"Perform sensitivity analysis on functions (e.g., changing inputs and measuring impact on outputs)",ds5100,True
50,51,Perform simple mathematical calculations (Python and R),ds5100,True
51,52,R: Apply the Tidyverse Pipe operator to aggregate data,ds5100,True
52,53,"R: Apply the Tidyverse verbs, such as: select(), filter(), arrange(), mutate(), summarize()",ds5100,True
53,54,R: data types,ds5100,True
54,55,R: Demonstrate use of element-wise operations,ds5100,True
55,56,"R: essential built-in functions like head(), tail(), rbind(), table(), summary(), str()",ds5100,True
56,57,R: get started in RStudio and navigate around,ds5100,True
57,58,R: save code in an R script,ds5100,True
58,59,R: vectorization,ds5100,True
59,60,Read and Write to and from various data formats,ds5100,True
60,61,Read code on GitHub,ds5100,True
61,62,Select and apply an appropriate data structure based on the problem requirements,ds5100,True
62,63,Use a program API to utilize existing functions (e.g. assert statements.),ds5100,True
63,64,"Using program API to utilize existing functions (e.g. sorting, searching, assert statements, etc.)",ds5100,True
64,65,Utilize and implement add-on numerical packages to augment existing data structures,ds5100,True
65,66,Write robust code by implementing the basic principles of program testing and debugging,ds5100,True
66,67,Execute distributed computing frameworks using MapReduce and Spark ,ds5110,True
67,68,"Demonstrate knowledge of applications for big data storage, retrieval, processing, and modeling using Amazon AWS, Hive, and others from the Hadoop ecosystem ",ds5110,True
68,69,"Implement PySpark for prevalent data science tasks, including data analysis and machine learning",ds5110,True
69,70,Execute an end-to-end predictive modeling project using a large dataset,ds5110,True
70,71,"Delineate Spark basic architecture and functionality.
",ds5110,True
71,72,Apply RDDs and Pair RDDs in data analysis tasks,ds5110,True
72,73,Apply DataFrames in data analysis tasks,ds5110,True
73,74,Apply Spark SQL to data analysis tasks,ds5110,True
74,75,Demonstrate how to preprocess data in PySpark,ds5110,True
75,76,Identify the basics of the MLlib library in PySpark,ds5110,True
76,77,Implement classification models in MLlib,ds5110,True
77,78,Identify the statistics functionality in MLlib,ds5110,True
78,79,Implement regression models in MLlib,ds5110,True
79,80,Examine the alternating least squares algorithm,ds5110,True
80,81,Implement recommender systems in PySpark using collaborative filtering,ds5110,True
81,82,Execute the feature utilities package in ML,ds5110,True
82,83,Construct machine learning pipelines,ds5110,True
83,84,Apply dimension reduction techniques using PySpark,ds5110,True
84,85,Execute model selection and tuning in PySpark,ds5110,True
85,86,Distinguish the use and benefits of accumulators and broadcast variables,ds5110,True
86,87,Build machine learning tools for the supervised learning task,ds5110,True
87,88,Use hyperparameter tuning in Spark,ds5110,True
88,89,Understand the concepts behind HDFS,ds5110,True
89,90,Understand the concepts behind Hive.,ds5110,True
90,91,Have some familiarity with running PySpark in a Databricks notebook,ds5110,True
91,92,"Understand how EC2 and S3 are used for computing and storage, respectively",ds5110,True
92,93,Demonstrate the steps for configuring and launching an AWS EC2 instance,ds5110,True
93,94,Understand the capabilities of Amazon Glue and Athena,ds5110,True
94,95,Understand the concepts and use cases behind Apache Kafka,ds5110,True
95,96,Create and configure an Amazon S3 bucket,ds5110,True
96,97,Apply the concepts behind streaming systems,ds5110,True
97,98,Execute the Spark Streaming library,ds5110,True
98,99,Compute analytics using Spark Streaming,ds5110,True
99,100,Explain the properties of data lakes and data lakehouses,ds5110,True
100,101,"Explain the shortcomings of data lakes, and how data lakehouses address these shortcomings",ds5110,True
101,102,"Work with Apache Delta lakes to implement their salient features (create, delete, update, conditional update, time travel)",ds5110,True
102,103,Implement GraphX and GraphFrames in Spark,ds5110,True
103,104,Recognize how to get help with coding in a way that is accurate and efficient while demonstrating how to be a good citizen in online forums,ds6001,True
104,105,"Implement methods for acquiring electronic data in many formats: csv, flat files, json, from APIs, and using web scraping, and loading it into Python",ds6001,True
105,106,"Understand the purpose, typology, and language of relational databases",ds6001,True
106,107,"Understand the purpose, typology, and language of NoSQL databases",ds6001,True
107,108,"Understand how to implement databases Python: SQLite, PostgreSQL, MySQL, MongoDB",ds6001,True
108,109,Understand how to query databases with SQL ,ds6001,True
109,110,Understand how to query databases with the MongoDB query language,ds6001,True
110,111,"Employ methods for wrangling, joining, and aggregating data using pandas",ds6001,True
111,112,"Understand relationships in data using summary statistics, hypothesis tests, measurement models",ds6001,True
112,113,"Understand relationships in data using visualization with matplotlib, seaborn, plotly",ds6001,True
113,114,Identify situations that demand ethical responses involving data science,ds6002,True
114,115,Develop the skills to respond creatively to critical ethics issues in data science,ds6002,True
115,116,"Build knowledge about the education and training needed for a particular job, career path, and entry into the data science profession",ds6003,False
116,117,"Observe, receive information, and ask questions to acquire knowledge and awareness of data science professions",ds6003,False
117,118,Relate academics with the world of work by connection data science careers to program coursework,ds6003,False
118,119,Collect and manage data to devise solutions to assigned research projects,ds6011,True
119,120,"Select, apply, and evaluate models, tools, and methods to address research projects",ds6011,True
120,121,Interpret and assess results and evaluate the limitations of research findings,ds6011,True
121,122,"Resolve group work allocation, leadership, and cooperation issues",ds6011,True
122,123,Identify situations that demand ethical responses involving data science,ds6012,False
123,124,Develop the skills to respond creatively to critical ethics issues in data science,ds6012,False
124,125,Collect and manage data to devise solutions to assigned research projects,ds6013,True
125,126,"Select, apply, and evaluate models, tools, and methods to address research projects",ds6013,True
126,127,Interpret and assess results and evaluate the limitations of research findings,ds6013,True
127,128,"Resolve group work allocation, leadership, and cooperation issues",ds6013,True
128,129,Use regression analysis to answer questions of interest in a wide variety of application environments,stat6021,True
129,130,Determine the most appropriate regression model for a given data set,stat6021,True
130,131,Identify the assumptions and limitations of a given regression model,stat6021,True
131,132,Diagnose and remedy common problems with the regression model found in real data,stat6021,True
132,133,Work with various data structures and primitive data types in the R programming language,stat6021,True
133,134,"Process R dataframes into the forms necessary for subsequent analysis including subsetting by rows, columns, condition, changing column names, removing missing values, combining dataframes with vectors",stat6021,True
134,135,Use the appropriate numerical and graphical summaries based on the question of interest and type of data,stat6021,True
135,136,Use the statistical software R for regression analysis,stat6021,True
136,137,State appropriate context-specific conclusions from an analysis,stat6021,True
137,138,"Present and discuss orally and in writing, statistical ideas, methods, and results to lay and professional audiences",stat6021,True
138,139,Work in teams to demonstrate the skills of a professional statistician in organizing and managing projects,stat6021,True
139,140,Describe the mathematical framework of regression models,stat6021,True
140,141,Describe the importance of assessing the assumptions and limitations for a given regression model,stat6021,True
141,142,Build classification and regression models for a given data set using R statistical software,ds6030,True
142,143,Explain the statistical theory used in data mining that affects how each type of model makes predictions,ds6030,True
143,144,"For a given data set and model, determine the optimal algorithmic parameters to customize the results of the model based on practical goals",ds6030,True
144,145,"Evaluate the performance of a model in terms of various factors such as accuracy, computational cost, interpretability, and practical requirements",ds6030,True
145,146,Determine the most appropriate algorithm for a given data set based on the needs of the user,ds6030,True
146,147,Use visualization techniques to help users understand and interpret the data mining results,ds6030,True
147,148,Implement KNN regression and classification models in R,ds6030,True
148,149,Build linear and nonlinear regression models in R,ds6030,True
149,150,Evaluate bias-variance tradeoff of linear regression method,ds6030,True
150,151,"Implement LR, LDA, and QDA classification in R",ds6030,True
151,152,Implement cross-validation,ds6030,True
152,153,Understand the theory behind principal components,ds6030,True
153,154,Use principal components transformation to visualize data,ds6030,True
154,155,"Use regularization (shrinkage, PCA, lasso) to improve regression accuracy",ds6030,True
155,156,Build a CART in R and use for both classification and regression,ds6030,True
156,157,Build a random forest (RF) for classification and for regression in R,ds6030,True
157,158,Use an SVM for classification and regression in R,ds6030,True
158,159,Use K-Means clustering to explore new data in R,ds6030,True
159,160,Use hierarchical clustering to create and evaluate clusters in R,ds6030,True
160,161,Probability review,ds6040,True
161,162,Use the elements of Bayes theorem in problem solving,ds6040,True
162,163,Use univariate conjugate priors to analytically obtain the posterior distribution,ds6040,True
163,164,Use multivariate conjugate priors to analytically obtain the posterior distribution,ds6040,True
164,165,Use non-informative priors to analytically obtain the posterior distribution,ds6040,True
165,166,Formulate real problems using the fundamentals of statistical decision theory,ds6040,True
166,167,Apply the principles of statistical decision theory to obtain the optimal solutions to classification problems,ds6040,True
167,168,Develop approximate solutions when the required assumptions for optimality in classification are not met,ds6040,True
168,169,Apply the principles of statistical decision theory to obtain the optimal solutions to regression problems,ds6040,True
169,170,Formulate a graphical representation of a joint distribution using nodes to represent conditional probabilities,ds6040,True
170,171,Display Bayesian models using graphs,ds6040,True
171,172,Represent generative models using graphs,ds6040,True
172,173,Apply graphical methods to real problems in text analysis,ds6040,True
173,174,Apply simple sampling methods to approximate distributions,ds6040,True
174,175,Devise Markov models for real problems with conditional dependence,ds6040,True
175,176,Formulate the Markov Chain Monte Carlo (MCMC) approaches to sampling,ds6040,True
176,177,Apply MCMC to real and complex problems in Bayesian inference,ds6040,True
177,178,Apply MCMC to real and complex problems in classifications.,ds6040,True
178,179,Apply MCMC to real and complex problems in regressions,ds6040,True
179,180,Use Bayes factors for model selection,ds6040,True
180,181,Formulate and use hierarchical models on real problems,ds6040,True
181,182,Use information criteria for model selection,ds6040,True
182,183,Formulate and use Bayesian model averaging on real problems,ds6040,True
183,184,Apply the expectation-maximization (EM) algorithm to problems in unsupervised learning,ds6040,True
184,185,Formulate problems with latent variables,ds6040,True
185,186,Formulate problems for solution by the EM algorithm,ds6040,True
186,187,Use Laplacian approximation to estimate probabilities in complex problems,ds6040,True
187,188,Formulate a variational approximation for a Bayesian inference problem,ds6040,True
188,189,Apply variational inference to problems with analytic solutions for comparisons of results,ds6040,True
189,190,Represent variational inference using the EM algorithm,ds6040,True
190,191,Use optimization methods to obtain solutions for variational approximations to real problems,ds6040,True
191,192,Apply evaluation methods to assess the performance of optimizations to obtain variational approximations,ds6040,True
192,193,Apply Markov random field models to represent problems in Bayesian machine learning,ds6040,True
193,194,Formulate Hidden Markov Model (HMM) solution strategies,ds6040,True
194,195,Apply HMMs to problems in data science,ds6040,True
195,196,Identify the range of applicability of methods from Bayesian machine learning to real problems in data science.,ds6040,True
196,197,Connect the many concepts discussed in the course to provide a foundation for continued learning,ds6040,True
197,198,"Create an end-to-end machine learning project at scale using open-source libraries such as NumPy, Keras, TensorFlow, and Google Cloud",ds6050,True
198,199,"Formulate various supervised, unsupervised, and reinforcement learning models",ds6050,True
199,200,"Apply practical skill sets on designing, deploying, and analyzing deep network architectures on complex real-world problems",ds6050,True
200,201,"Use NumPy to describe, identify, and process multi-dimensional arrays and matrices.",ds6050,True
201,202,Identify the components of linear algebra most relevant to deep learning.,ds6050,True
202,203,Summarize numerical concerns for implementations of deep learning algorithms.,ds6050,True
203,204,Design a simple architecture of a multilayer perceptron (MLP).,ds6050,True
204,205,Understand how to design different activation functions to solve the vanishing/exploding gradient problem,ds6050,True
205,206,"Formulate several forms of regularization strategies to create a large, deep, regularized model",ds6050,True
206,207,Review applications of convolutional neural networks (CNNs),ds6050,True
207,208,Study the basics of recurrent neural networks (RNNs),ds6050,True
208,209,Explore the shortcomings of basic RNNs and how to alleviate them with long short-term memory (LSTM) cells,ds6050,True
209,210,Investigate in-depth how autoencoders work and how to use them for dimensionality reduction and feature extraction,ds6050,True
210,211,Interpret hidden latent variables using perturbation and generate new examples,ds6050,True
211,212,"Explain the training process of adversarial neural networks (GANs), where two neural networks compete against each other, and its difficulties",ds6050,True
212,213,Explore various applications of GANs and their recent advances,ds6050,True
213,214,Explore the basic components of reinforcement learning (RL) including the Markov decision process (MDP),ds6050,True
214,215,Learn to solve for the optimal state-action value by using Q-Learning and Deep Q-Networks (DQNs),ds6050,True
215,216,"Examine policy gradients (PGs) to directly optimize the policy, as well as a hybrid method called actor critic advantage",ds6050,True
216,217,Understand how to deploy models to TF Serving and then scale up to Google Cloud AI Platform,ds6050,True
217,218,"Deploy models to mobile apps, embedded devices, and web apps",ds6050,True
218,219,Understand how adversarial attacks work,ds6050,True
219,220,Explore bias in data and algorithms,ds6050,True
220,221,Analyze the issues in uncertainty estimation,ds6050,True
221,222,"Understand the fundamentals of modern business with an emphasis on stakeholders, value-creation, industries, markets, and competition",ds_biz_analytics,True
222,223,"Apply data science tools to the primary business functions in which they may be working: strategy, sales, marketing, finance, operations, human resources and technology",ds_biz_analytics,True
223,224,"Understand key data sources, models, metrics, and tools that will be critical to their success during their careers, as they work in or support each of these business areas.",ds_biz_analytics,True
224,225,"Apply ethical data science principles to key business functions (e.g., finance, marketing, etc)",ds_biz_analytics,True
225,226,"Use critical thinking skills to understand, analyze, or solve business problems",ds_biz_analytics,True
226,227,Communicate effectively in both speech and writing,ds_biz_analytics,True
227,228,Collaborate effectively with peers,ds_biz_analytics,True
228,229,Formulate and ask insightful questions,ds_biz_analytics,True
229,230,Engage appropriately with senior executives at an enterprise level,ds_biz_analytics,True
